,Sentences
333,SARS-CoV-derived discontinuous B cell epitopes that have at least one site with an identical amino acid to the corresponding site in SARS-CoV-2
334,"1,2   910052  G446, P462, D463, Y475   77444  T359, T363, K365, K390, G391, D392, R395, R426, Y436, G482, Y484, T485, T486, T487, G488, I489, G490,  Y491, Q492, Y494   77442  R426, S432, T433, Y436, N437, K439, Y440, Y442, P469, P470, A471, L472, N473, C474, Y475, W476, L478,  N479, D480, Y481, G482, Y484, T485, T486, T487, G488, I489, Y491, Q492 1 Residues are numbered according to the SARS-CoV S protein reference sequence, accession ID: NP_828851.1.

2 Residues in the epitopes that are identical in the SARS-CoV-2 sequences are underlined.

"
335,"Mutation is defined here as an amino acid difference from the reference sequence of the respective coronavirus; accession IDs: NC_045512.2 (SARS-CoV-2), NC_004718.3 (SARS-CoV), and NC_019843.3 (MERS-CoV).

"
336,https://doi.org/10.1101/2020.02.03.933226 doi: bioRxiv preprint Tables   Table S1 : List of GISAID accession IDs for 80 genomic sequences of SARS-CoV-2
337,Table S2 : List of all SARS-CoV-derived T cell epitopes determined using positive MHC binding assays (with associated MHC allele information available at 4-digit resolution) and found to be identical in SARS-CoV-2
338,Table S3 : Distribution of all SARS-CoV-derived T cell epitopes obtained using positive MHC binding assays (with associated MHC allele information available at 4-digit resolution) and that are identical in SARS-CoV-2
339,Table S4 : Set of the SARS-CoV-derived S and N protein T cell epitopes (obtained using positive MHC binding assays) that are identical in SARS-CoV-2 and that maximize estimated population coverage in China (86 distinct epitopes)
340,Table S5 : Estimated global and Chinese population coverages for the individual SARS-CoV-derived S or N protein T cell epitopes (obtained using positive MHC binding assays) that are identical in SARS-CoV-2
341,"Table S6 : SARS-CoV-derived linear B cell epitopes, excluding those in S and N proteins, that are identical in SARS-CoV-2"
342,"This prompts us to consider if cancer patients were at an elevated risk of SARS-CoV-2 infection.

A total of 1,524 cancer patients who were managed at our tertiary cancer institution -Zhongnan hospital of Wuhan University were reviewed during the period of Dec 30, 2019 to Feb 17, 2020"
343,"We identified twelve patients who were infected with SARS-CoV-2, with two recorded deaths (16.7%), albeit one patient passed away from a COVID-19 unrelated cause"
344,"Consequently, for cancer patients who require treatment, proper isolation protocols must be in place to mitigate the risk of SARS-CoV-2 infection.

"
345,"3 Among the different disease types, cancer patients are often recalled to the hospital for treatment and disease surveillance, and therefore, they may be at an elevated risk of contracting SARS-CoV-2"
346,"Moreover, the majority of cancer treatments such as chemotherapy and radiotherapy are immunosuppressive.

Here, we report the incidence and outcomes of SARS-CoV-2 infection in cancer patients who were managed at a tertiary cancer institution in Wuhan.

We collected the data of all patients from Dec 30, 2019 to Feb 17, 2020 (data cut-off date) who were admitted to the Department of Radiation and Medical Oncology, Zhongnan Hospital of Wuhan University"
347,https://doi.org/10.1101/2020.02.22.20025320 doi: medRxiv preprint real-time reverse transcription polymerase chain reaction assay for SARS-CoV-2 and eight by the clinical criteria of fever and radiological computed tomography changes; Table 1 )
348,We estimated that the infection rate of SARS-CoV-2 in cancer patients from our single institution at 0.79% (95% CI = 0.3-1.2)
349,"Among the SARS-CoV-2 infected patients, 58.3% (7 of 12) were non-small cell lung carcinoma patients"
350,"4 Based on our single institution data, we observed that cancer patients from the epicenter of a viral epidemic indeed harbor a higher risk of SARS-CoV-2 infection (OR = 2.31, 95% CI = 1.89-3.02) when compared to the general community"
351,"Regardless, our findings do imply that hospital admission and recurrent hospital visits are potential risks for SARS-CoV-2 infection, and these factors may account for the increased incidence among cancer patients"
352,"For cancer patients who require treatment, proper isolation protocols must be in place to mitigate the risk of SARS-CoV-2 infection.

"
353,"Background: A novel coronavirus (SARS-CoV-2) spread from the capital of the Hubei province in China to the rest of the country, then to most of the world"
354,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) , a novel coronavirus that causes coronavirus disease 2019 in humans, began to occur in Wuhan (China) in December 2019 and has the trend of spreading around the world [1, 2, 3] "
355,"It was confirmed by etiology that SARS-CoV-2 belonged to the novel coronavirus of the subgenus Sarbecovirus (Beta-CoV lineage B), and had 79.5% similarity with SARS-CoV [4] , which caused the global outbreak in 2003"
356,"Spike (S) protein, one of the main structural proteins of SARS-CoV-2, binds angiotensin-converting enzyme 2 (ACE2) protein of the host cell membrane to fuse into the cell for nucleic acid replication just similar to SARS-CoV [5] "
357,"Through a variety of bioinformatics and experimental verification, ACE2 is not only expressed in alveolar epithelial cells, but also in the heart, gastrointestinal tract, kidney, testis and other organs, which means that SARS-CoV-2 is likely to enter other tissues and organs through ACE2 binding, causing multiple organ damage [6, 7] .

In recent studies, SARS-CoV-2 has been found to cause heart, kidney, liver injury and gastrointestinal symptoms in addition to lung lesions such as ARDS [6] "
358,"Combined with clinical data, we demonstrated the pancreatic injury in some patients with COVID-19, and explained for the first time that the pancreas was also a vulnerable organ after SARS-CoV-2 infection.

We collected bulk RNA-seq data from GTEx (https://gtexportal.org), which contains normal tissue and organ sequencing data from multiple individuals"
359,"1A) , which suggests that these organs or tissues such as unreported ovary and thyroid might also be targets for SARS-CoV-2.

For comparison, we compared ACE2 expression in lung and pancreatic tissues, since the lung is known to be the first target organ to be attacked by SARS-CoV-2"
360,"These data still indicate that ACE2 is expressed in both the exocrine glands and islets, which may be the main potential part targeted by SARS-CoV-2 in the pancreas, resulting in "
361,"So far, there is no specific drug for SARS-CoV-2, and challenges remain"
362,"Although there are asymptomatic infected people, who can also be the source of transmission [1, 12] , in clinical practice, patients infected with SARS-CoV-2 mainly suffer from systemic symptoms like fever and fatigue, respiratory symptoms like cough and expectoration, digestive symptoms such as diarrhea [2, 13] "
363,"https://doi.org/10.1101/2020.02.28.20029181 doi: medRxiv preprint expression of protein ACE2 in these organs may provide an approach for SARS-CoV-2 infection [7] , leading to tissue injuries"
364,"However, the injury of pancreas has been ignored in clinic, since the symptoms of mild pancreatic injury are not specific to other systemic lesions, such as fever, nausea, vomiting and abdominal pain.

In this study, we focused on the expression of ACE2 in pancreas and the damage to the pancreas in a proportion of patients with SARS-CoV-2 infection"
365,"Firstly, we found ACE2 was mostly expressed in the pancreas of normal people, and it was slightly higher in the pancreas than in the lungs, indicating that when SARS-CoV-2 appeared in the circulation, it might also combine with ACE2 in the pancreas to enter cells and cause pancreatic injury"
366,"At the same time, analysis results from scRNA-seq data were consistent with elevated levels of amylase and lipase in the plasma of our patients.

In our cases, about 1-2% of the non-severe patients with SARS-CoV-2 had pancreatic lesions, and about 17% of the severe patients suffered from pancreatic injuries, which was not previously noticed"
367,"Since SARS-CoV-2 has the same receptor as SARS-COV, whether this result will occur requires more attention.

Therefore, increased attention should be paid to the pancreas in patients with SARS-CoV-2 infection, especially in severe cases.

In our study, there are still some limitations"
368,"Corona Virus Disease 2019 (COVID-19) is a recently emerged life-threatening viral pneumonia disease caused by SARS-CoV-2 (named 2019-nCoV before February 11, 2020) (1) "
369,"SARS-CoV-2 belongs to the beta coronavirus genus and its genome is single-stranded, non-segmented positive-sense RNA, which is 29,881 nucleotides in length (2) "
370,"So far, the full-length genomic sequences between virus samples are almost identical (3) , suggesting that no significant mutations have occurred in the virus (5) .

There is no suitable antiviral drug or effective vaccine for the SARS-CoV-2 virus currently"
371,"Therefore, reliable and rapid laboratory diagnosis of SARS-CoV-2 infection is critical to managing patient care and preventing hospital transmission"
372,Real-time reverse-transcription fluorescent PCR (RT-PCR) is the clinical standard for SARS-CoV-2 nucleic acid detection (8) 
373,"Now, in order to detect SARS-CoV-2 early and control the disease spreading on time, we developed a faster and more convenient method for detecting SARS-CoV-2 nucleic acid, named RT-LAMP (reverse transcription loop-mediated isothermal amplification)"
374,"When the template is RNA, the amplification reaction can be occurred in one step by adding reverse transcriptase, and called RT-LAMP.

Magnesium pyrophosphate is produced as a by-product during DNA amplification.

Because the amplification efficiency of LAMP is higher than that of RT-PCR, a large amount of magnesium pyrophosphate causes the reaction solution to become cloudy.

Besides, the added dye calcein can change the mixed solution from orange to green, so the results can not only be observed by a turbidimeter, but also by the naked eye.

Because RT-LAMP is convenient and fast, it shows significant advantages in SARS-CoV-2 detection in clinic (14) "
375,"Sensitivity, specificity and application potential of RT-LAMP in the clinical diagnosis of SARS-CoV-2 were reported and discussed here.

Our hospital is one of the six hospitals for SARS-CoV-2 nucleic acid testing approved by our city"
376,"From January 30 to February 27, during the SARS-CoV-2 epidemic, a total of 208 RNA from throat swab specimens were collected and 17 were SARS-CoV-2 positive.

All rights reserved"
377,"https://doi.org/10.1101/2020.03.02.20030130 doi: medRxiv preprint RNA was extracted using Liferiver (Shanghai Liferiver Biotechnology Co., Ltd.) nucleic acid extraction kit by Nucleic acid extraction instrumentin a tertiary protection laboratory.

In order to identify SARS-CoV-2, the species-specific ORF1ab gene, E gene and N gene were selected as the target gene (GenBank accession No.MN988669.1) after comparing the gene sequences of CoVs from human and bat origins"
378,All primers were compared with other coronaviruses and published SARS-CoV-2 sequences by genebank using BLAST alignment tools
379,"When five samples were positive for all three genes, and false positives did not appear, was the time to judge the results.

To determine the sensitivity of the RT-LAMP method using the screened primers to identify ORF1ab gene, E gene and N gene of SARS-CoV-2, RNA No"
380,"The detection limit of the PCR kit used is 1000 copies/ml.

To validate the specificity of the RT-LAMP assays, RNA of 10 Influenza A, Influenza B, Respiratory Syncytial Virus positive samples and 20 SARS-CoV-2 negative samples was amplified by RT-LAMP as mentioned above"
381,"DNA fragments were recovered by gel cutting, and the specificity of the fragments was verified by sequencing.

During the outbreak of SARS-CoV-2, influenza A virus, influenza B virus and respiratory syncytial virus were detected in our hospital to rule out COVID-19"
382,"These 

We initially screened out one set of optimal RT-LAMP primers for ORF1ab, E and N gene of SARS-CoV-2 respectively"
383,"the author/funder, who has granted medRxiv a license to display the preprint in perpetuity.

The copyright holder for this preprint (which was not peer-reviewed) is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity.

The copyright holder for this preprint (which was not peer-reviewed) is We designed primers for detecting ORF1ab gene, E gene, and N gene of SARS-CoV-2"
384,Results showed that their sensitivity was similar for SARS-CoV-2 judgment
385,"Although the RT-PCR kit used also detects three genes, one band appears because the three gene fragments are all about 100 bp.

RT-LAMP has one more dilution than RT-PCR, and because there are several bright bands in one electrophoretic lane, it indicates that the amount of RT-LAMP products is very large, which is the reason that the RT-LAMP results are visible by naked eyes.

It was verified that influenza A, influenza B, and respiratory syncytial virus-positive specimens did not interfere SARS-CoV-2 detection by RT-LAMP"
386,SARS-CoV-2 is highly infectious
387,"However, the N gene alone cannot be judged as positive for SARS-CoV-2, and it needs to be re-examined in order to determine with other genes.

Through the combined detection of the three genes, the N gene can detect a low concentration of the virus, so that possible positives are not missed, and the ORF1ab gene guarantees that no false positives appear, which also ensures the sensitivity and specificity for SARS-CoV-2 test"
388,"However, if one of the three genes is used alone, it can reduce the sensitivity or specificity of the test, causing false positives or false negatives.

In summary, the single-step RT-LAMP measurement reported in this paper is simple, fast, and accurate, and has practicality for SARS-CoV-2 diagnosis in clinical.

"
389,"On Jan 7, a novel coronavirus was discovered using high-throughput sequencing in the throat swab sample of a patient , and is currently named SARS-CoV-2(previously known as 2019-nCoV)on February 11, 2020 by ICTV 2,3 "
390,"However, the specificity of chest CT is relatively low，alone could not distinguish the SARS-CoV-2 infection from other pathogens well.

SARS-CoV-2 causes extensively outbreak in cold winter"
391,"Although they were eventually diagnosed, they had only mild symptoms of upper respiratory tract infection on admission and in the course of infection, and no CT scan had been performed.

In the beginning of the SARS-CoV-2 outbreak, RT-PCR for pharyngeal and CT scan is the main Besides that, we also analyze the agreement of the two methods (The cases with uncertain CT results were not involved in statistical analysis due to statistical limitations)"
392,"The average time of nucleic acid screening was earlier than that of CT scan statistically (-0.7390days, -3625~1.674) ( Table 4) It is notable that both of the methods acquired the sensitivity less than 80% in screening SARS-CoV-22 infections, which is not ideal enough for the diagnosis of infectious diseases with severe consequences"
393,"15 findings from a severely infected COVID-19 patient revealed no obvious histological changes in heart tissue; however, the conclusion that SARS-CoV-2 infection might not directly impair the heart is debatable because this finding was observed in only one patient without AMI-related clinical evidences"
394,"Although full-genome sequencing and phylogenic analysis has shown that SARS-CoV-2 is similar to SARS-CoV or MERS-CoV, the pathophysiological mechanism of cardiac infection or damage caused by SARS-CoV-2 needs to be further validated in future studies"
395,"SARS-CoV-2, also known as 2019-nCoV, is a novel coronavirus (CoVs) isolated from patients with pneumonia in China 2019"
396,"SARS-CoV-2 has a similar incubation period (median, 3.0 days) and a relatively lower fatality rate than SARS-CoV or MERS-CoV (1), but it is estimated that the reproductive number of SARS-CoV-2 is higher than that of SARS-CoV (2) .

What's more, some laboratory-confirmed symptomatic cases are absent of apparent cough, fever or radiologic manifestations, making it difficult to timely and accurately find out all infected patients (3, 4) "
397,"As of February 28, 2020, patients infected by SARS-CoV-2 have been diagnosed in more than 30 countries, and more than 78,000 confirmed cases and 2,700 deaths associate with SARS-CoV-2 infection are reported in China alone.

The genetic information of a virus is essential for not only its classification and traceability, but also its pathogenicity"
398,"At the whole genome level, the sequence identify of SARS-CoV-2 was 50% to MERS-CoV, 79% to SARS-CoV, 88% to two bat-derived SARS-like coronaviruses, Bat-SL-CoVZC45 and Bat-SL-CoVZXC21 (collected in 2018 in Zhoushan, China) , and 96% to Bat-SARSr-CoV RaTG13 (collected in 2013 in Yunnan, China) (5) "
399,"Each genome of all SARS-CoV-2 strains now submitted online contains nearly 29,900 nucleotides (nt), which are predicted with at least 14 open reading frames (ORFs) (5′ to 3′), such as ORF1ab (P, 21,291 nt), spike (S, 3,822 nt), ORF3a (8,28 nt), envelope (E, 228 nt), membrane (M, 669nt), ORF8 (366 nt), and nucleocapsid (N,1,260 nt) (6) "
400,"Gene mutations such as nucleotide substitutions, deletions and insertions have been frequently reported when comparing SARS-CoV-2 with other viruses (5) (6) (7) "
401,"In this work, we investigated the mutation pattern of SARS-CoV-2 by comprehensive comparative genomic analysis of the nonsynonymous/ synonymous substitution, relative synonymous codon usage (RSCU) and selective pressure in order to explore their potential in evolution and function.

The SARS-CoV-2 reference genome Wuhan-Hu-1 (NC_045512) and WIV04 (MN996528) was downloaded from the GenBank database"
402,"This test allowed us to infer episodic and pervasive positive selection at individual sites.

To investigate the potential relative synonymous codon usage (RSCU) bias of the spike protein from SARS-CoV-2 and its closely related coronaviruses, the coding sequence (CDS) of spike protein in these coronaviruses were calculated with CodonW 1.4.4 (http://codonw.sourceforge.net/)"
403,"https://doi.org/10.1101/2020.02.27.969006 doi: bioRxiv preprint

Statistical analyses were performed using the R statistical package (version 3.

Chi-squared test was used to compare any two data sets, and data were considered significantly different if the two-tailed p value was less than 0.05.

The newly identified SARS-CoV-2 strain WIV04 genome sequence was closely related with Bat-SARSr-CoV RaTG13 and Bat-SL-CoVZC45, which was collected from host Rhinolophus affinis (5) "
404,"Consequently, this increased T:C mutation implies the ExoN of SARS-CoV-2 may be deactivated compared with that of RaTG13"
405,"https://doi.org/10.1101/2020.02.27.969006 doi: bioRxiv preprint Furthermore, we checked whether the ratio of synonymous substitution to missense substitution is increased within SARS-CoV-2 strains"
406,"From December 2019 to February 2020, the genome sequences of 108 strains of SARS-CoV-2 virus have been submitted to GISAID database worldwide"
407,"Compared with the standard SARS-CoV-2 strain WIV04, total 98 point mutations were detected at 93 nucleotide sites of all SARS-CoV-2 strains with genome sequence available on Feb"
408,"Consequently, the proportion of synonymous mutations (~40%) among all current reported SARS-CoV-2 strains is similar to that between WIV04 and Bat-SL-CoVZC45 (39.1%), but is dramatically less than that between WIV04 and RaTG13 (90.7%).

According to random drift hypothesis (15) ， these nucleotide mutations among different SARS-CoV-2 strains now available are still determined by neutral evolution"
409,"In short, there has no powerful factor to force SARS-CoV-2 to evolve in a certain direction by far"
410,"However, we should take strict precautions against the strong factors that may cause directional variation of SARS-CoV-2 both in natural environment and infection treatment.

To investigate whether the mutation pattern between SARS-CoV-2 and RaTG13 is unique across all coronavirus species, we further compared their alterations of nucleotides and amino acids in comparison to other representative coronaviruses"
411,Phylogenetic analysis of SARS-CoV-2 and its 20 closely related coronaviruses formed four well supported clades (Fig
412,"The two SARS-CoV-2 strain WIV04 (from Wuhan) and SNU01 (from Korea patient) were clustered with SARS-CoV-related strains to form clade 1, belonging to beta-coronavirus lineage B"
413,"The Compared with Bat-SARSr-CoV RaTG13, there were 293 nucleotideswere altered while only 29 amino acids were altered in SARS-CoV-2; their ratio was as high as 9.07"
414,"These results indicate that the relative level of synonymous substitutions between human SARS-CoV-2 and its possible animal origin (RaTG13) is much higher than that between other human coronaviruses and their potential animal sources.

Different organisms, even different protein coding genes of the same species, have different frequency of codon usage (16) "
415,"We calculated the distance of RSCU between spike genes of 20 representative coronaviruses and

and Bat-SARSr-CoV RaTG13 was 1.17, which was the lowest except for SNU01 (another strain of SARS-CoV-2), indicating that their codon preference was almost the same; the second lowest codon usage difference was 2.41 that was detected between SARS-CoV-2 WIV04 and Bat-SL-CoVZC45 (Fig"
416,"The results showed that both dN and dS of S gene of SARS-CoV-2 WIV04 versus Bat-SARr-CoV RaTG13 were the lowest among all typical coronaviruses, while those of SARS-CoV Tor2 versus bat SARS-like coronavirus WIV1 were the second lowest"
417,"https://doi.org/10.1101/2020.02.27.969006 doi: bioRxiv preprint Among them, dN/dS of spike gene of SARS-CoV-2 WIV04 versus that of Bat-SARr-CoV RaTG13 was 0.04, which was the lowest among all comparisons, reconfirming that the rate of synonymous mutation was increased between WIV04 and RaTG13 strains"
418,"Notably, the dN/dS ratio of RBD region in SARS-CoV-2 WIV04 was dramatically increased in about 3 fold in comparison with full spike region"
419,"On the 254th position of the spike amino acid sequence, there is a histidine residue instead of a phenylalanine residue, whereas on the 330th amino acidic position in WIV04 sequence, there is a glutamine residue instead of an valine residue.

The results described above strongly supporting the action of positive selection in spike gene during the recent evolution of SARS-CoV-2 and RaTG13"
420,"https://doi.org/10.1101/2020.02.27.969006 doi: bioRxiv preprint addressed with careful explain, because the RBD region of spike gene from SARS-CoV-2 was quit divergent with that of RaTG13 (Fig"
421,"S1) , suggesting it might have originated from homologous recombination between RaTG13 and one yet-unknown coronavirus (19) .

Through comprehensive comparative analysis between SARS-CoV-2 and other coronaviruses, we found the synonymous mutations is dramatically elevated between SARS-CoV-2 and RaTG13 than that of other coronavirus strains, and the nucleotide mutations were enriched in T:C transition.

The specific mutation pattern may caused by the loss function of RNA 3'-to-5' exoribonuclease (ExoN)"
422,"Moreover, as the SARS-CoV-2 was supposed to be originated from Bat-SARSr-CoV RaTG13, the increased synonymous substitution between SARS-CoV-2 and RaTG13 strain suggested the SARS-CoV-2 genome was under stronger negative (purifying) selection"
423,"5-FU) could induce the same mutation pattern, the mechanism of the mutation pattern observed between SARS-CoV-2 and RaTG13 should be further investigated in future work"
424,"In December 2019, a series of cases were identified by a novel coronavirus named severe acute 63 respiratory syndrome coronavirus 2 (SARS-CoV-2) was reported by Wuhan City, Hubei Province, 

Age-related transmissibility of COVID-19 has become a public health concern"
425,"The definitions of the six compartments were shown in Table 1 .

The model was based on following assumptions: 108 a) Susceptible individuals become infected by contact with infected/asymptomatic people; 109 b) SARS-CoV-2 can transmit within each age group"
426,111 c) SARS-CoV-2 can be transmitted between different age groups
427,"https://doi.org/10.1101/2020.03.05.20031849 doi: medRxiv preprint 7 j) SARS-CoV-2 will remove in the market after a given period (the life time of the virus is 1/ε), and 128 the daily decreasing rate of the pathogen is εW.

The flowchart of the model was shown in Figure 1 

Since the different dimension of people and the virus, we adopt the following sets to perform the 133 normalization:

136 137 "
428,"Since the SARS-CoV-2 is an RNA 152 virus, we assumed that it could be died in the environment in a short time, but it could stay for a longer 153 time (10 days) in the unknown hosts in the market"
429,"1101 /2020 and to estimate the parameter b ii , b jj , b ij , and b ji .

In the model the age-specific secondary attack rate (SAR) was employed to quantify the 172 transmissibility of SARS-CoV-2"
430,"They were calculated as follows:

In the equations, SAR ii , SAR ij , SAR ji , and SAR jj refer to the age-specific SAR among age group i, 174 from age group i to j, from age group j to i, and among age group j, respectively.

To quantify the age-specific transmissibility of SARS-CoV-2, we also performed a simulation which 176 was named as ""knock-out"" simulation in our previous study [17] "
431,"We concluded that the virus was 242 more likely to transmit among older population.

These results revealed that SARS-CoV-2 has high transmissibility among adult older than 25 years 244 old or elder people, but has low transmissibility among children or people younger than 14 years.

These results were similar to the age-specific transmissibility of influenza A (H1N1)[4]"
432,"As reported by Pan et al [26] , 2 of 3 255 cases was asymptomatic infected, with the proportion of asymptomatic of 0.67.There was a research 256 showed that the asymptomatic infection would shed SARS-CoV-2 for 5 days [27] "
433,"3 SARS-CoV-2 infected patients develop respiratory illness, with the first symptoms of fever, cough and fatigue that quickly progress to pneumonia"
434,"8 Despite the intensive work that has been focused on an understanding of the transmission of SARS-CoV-2, the spread mode of the SARS-CoV-2 is unclear.

To our knowledge, limited investigations have been conducted to date into the clinical features of SARS-COV-2 in ocular surface"
435,"However, SARS-CoV-2 was found in ocular discharges by RT-PCR only in one patient, the symptoms and laboratory test were shown in Fig"
436,"However, SARS-CoV-2 was found in ocular discharges by RT-PCR only in one COVID-19 patient"
437,"Although the incidence of conjunctivitis is extremely low, these results demonstrated that SARS-CoV-2 have shown a capacity to use the eye as a portal of entry and cause ocular disease"
438,"14 Resemble as SARS-CoV, entry of SARS-CoV-2 via the host functional receptor is mediated by ACE2"
439,"In addition, we found that 2~3 repeated tests did in suspected patients of nasopharyngeal swabs before the SARS-CoV-2 was All rights reserved"
440,"Therefore, the low viral load in the ocular surface and the lower positive rate of RT-PCR makes early diagnosis of SARS-CoV-2 a challenge"
441,"of China, countries are at the most critical stage to avoid outbreaks of domestic cluster 48

Many studies or reports have started revealing that SARS-CoV-2 is very infectious (Li 50 et al., 2020; Wu, Leung, & Leung, 2020) Many clinical cases are asymptomatic or 51 mildly diagnosed patients (Liu, Liao, Chang, Chou, & Lin, 2020), which greatly 52 increases the potential for transmission and makes epidemic prevention very difficult"
442,"In the event of suspected duplicate patients, one case was removed from the dataset.

Pediatric cases of COVID-19 were defined as patients ≤19 years of age with a laboratory confirmed diagnosis of SARS coronavirus 2 (SARS-CoV-2) infection"
443,"5 The definition of a laboratory confirmed cases is a patient blood or respiratory tract sample positive for SARS-CoV-2 by quantitative RT-PCR, or presence of viral genome highly homologous to reference sequence for SARS-CoV-2"
444,"The coronavirus disease 2019 , caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), emerged in Wuhan, China in the end of 2019, and spread to over 40 foreign countries in a short period of time [1] [2] [3] "
445,"S2 ) for those who travelled after 23 rd January 2020.

To identify accurately a timeframe for evaluating early shifts in SARS-CoV-2 transmission in China, we first estimated from case data the average incubation period of COVID-19 infection (i.e"
446,"2a) and likely reduced further dissemination of SARS-CoV-2 from Wuhan.

To test the contribution of the epidemic in Wuhan to seeding epidemics elsewhere in China we build a naïve COVID-19 GLM (15) model of daily case counts (Materials and Methods)"
447,We hypothesize that many of the cases with no known travel history in the early period were indeed travelers that contributed to disseminating SARS-CoV-2 outside of Wuhan
448,"Confirmed: Need to satisfy criteria for probable case and have a RT-qPCR positive result from respiratory or blood samples, or genome sequencing highly similar with known SARS-CoV-2"
449,The causative pathogen of the COVID-19 outbreak has been identified as a highly infectious novel coronavirus which is referred to as the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)
450,[1] [2] [3] The transmission of SARS-CoV-2 in humans is thought to be via at least 3 sources: 1) inhalation of liquid droplets produced by and/or 2) close contact with infected persons and 3) contact with surfaces contaminated with SARS-CoV-2
451,"9 At present, there is little information on the characteristics of airborne SARS-CoV-2 containing aerosols, their concentration patterns and behaviour during airborne transmission due to the difficulties in sampling virus-laden aerosols and challenges in their quantification at low concentration"
452,"This study on airborne SARS-CoV-2 was conducted in different areas inside two hospitals and public areas in Wuhan, China, the epicenter city during the initial disease outbreak"
453,"We aimed to 1) quantify the concentrations of airborne SARS-CoV-2 both inside the hospitals and in outdoor public areas, 2) evaluate the aerodynamic size distributions of SARS-CoV-2 aerosols that may mediate its airborne transmission, and 3) determine the dry deposition rate of the airborne SARS-CoV-2 in a patient ward room.

This study is an experimental investigation on the concentration and aerodynamic characteristics of airborne SARS-CoV-2 aerosol in different areas of two hospitals: the Renmin Hospital of Wuhan University, designated for treatment of severe symptom COVID-19 patient during the disease outbreak and the Wuchang Fangcang Field Hospital, one of the first temporary hospitals which was renovated from an indoor sports stadium to quarantine and treat mildly symptom patients, and outdoor public areas in Wuhan during the coronavirus outbreak"
454,"The description and characteristics of sampling sites are shown in Table S1 .

Three types of aerosol samples were collected: 1) Aerosol samples of total suspended particles (TSP) with no upper size limit to quantify RNA concentration of SARS-CoV-2 aerosol; 2) Aerodynamic size segregated aerosol samples to determine the size distribution of airborne SARS-CoV-2; 3) Aerosol deposition samples to determine the deposition rate of airborne SARS-CoV-2.

The sampling was conducted between February 17 and March 2, 2020 in the locations by two batches as shown in Table 1 "
455,"The 25, 37mm and 80 mm filter samples were dissolved in deionized water, then TRIzol LS Reagent (Invitrogen) was added to inactivate SARS-CoV-2 viruses and extract RNA according to the manufacturer's instruction"
456,Optimized ddPCR was used to detect the presence of SARS-CoV-2 viruses following our previous study
457,"A detailed protocol is provided in Supplementary Appendix.

The airborne SARS-CoV-2 concentrations in different categorized sites are shown in Table 1 "
458,Fangcang Hospital workstations in different zones had low concentrations (1-9 copies m -3 ) of SARS-CoV-2 aerosol
459,"Particularly, the Protective Apparel Removal Rooms (PARRs) in three different zones inside Fangcang Hospital are among the upper range of airborne SARS-CoV-2 concentration from 18 to 42 copies m -3 in the first batch of sampling"
460,"In PUA, SARS-CoV-2 aerosol concentrations were below 3 copies m -3 , except for two occasions: one crowd gathering site near the entrance of a department store with frequent customer flow and one outdoor site next to Renmin Hospital with outpatients and passengers passing by"
461,"The peak concentration of SARS-CoV-2 aerosols appears in two distinct size ranges, one in the submicron region with aerodynamic diameter dominant between 0.25 to 1.0 µm, and the other peak in supermicron region with diameter larger than 2.5 µm"
462,The two concentration peaks in sub-and supermicron ranges have independent existence in SARS-CoV-2 aerosols and they do not necessarily co-exist indicating possible different formation mechanisms
463,"The aerosol deposition sample collected from the Renmin Hospital ICU room had raw counts of SARS-CoV-2 RNA significantly above the detection limit as shown in Table S1 , although the TSP aerosol sample concentration inside this ICU room was below detection limit during the 3 hour sampling period"
464,"This may have blocked the path of virus aerosol sediment.

Generally undetectable or very low concentrations of airborne SARS-CoV-2 were found in most PAA inside the two hospitals in Wuhan"
465,"The negative pressure ventilation and high air exchange rate inside ICU, CCU and ward room of Renmin Hospital are effective in minimizing airborne SARS-CoV-2"
466,"However, the SARS-CoV-2 aerosol concentrations inside the patient hall were very low during the two batches of sampling periods, showing the protective and preventive measures taken in Fangcang Hospital are effective in hindering the aerosol transmission and reducing the potential infection risks of the medical staff"
467,"Our findings add support to a hypothesis that virus-laden aerosol deposition may play a role in surface contamination and subsequent contact by susceptible people resulting in human infection.

This study also recorded an elevated airborne SARS-CoV-2 concentration inside the patient mobile toilet of Fangcang Hospital"
468,has found the wipe samples from room surfaces of toilets used by SARS-CoV-2 patients tested positive
469,"We call for extra care and attention on the proper design, use and disinfection of the toilets in hospitals and in communities to minimize the potential source of the virus-laden aerosol.

MSAs in general have higher concentration of SARS-CoV-2 aerosol with biomodal size distributions compared to PAA in both hospitals during the first batch of sampling in the peak of COVID-19 outbreak"
470,"While for Fangcang Hospital, the nonventilated temporary PARR has limited air penetration from the patient hall where the SARS-CoV-2 aerosol concentration was generally low"
471,We believe one direct source of the high SARS-CoV-2 aerosol concentration may be the resuspension of virus-laden aerosol from the surface of medical staff protective apparel while they are being removed
472,"These resuspended virus-laden aerosol originally may come from the direct deposition of respiratory droplets or virus-laden aerosol onto the protective apparel while medical staff having long working hours inside PAA, as shown from the SARS-CoV-2 deposition results in ICU room"
